CODE_PRODUIT;CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;QUANTITE_TRANSFEREE
CO0200;D056;D062;137
CO0200;D508;D062;632
CO0200;D007;D603;165
CO0200;D049;D062;62
CO0202;D667;D631;95
CO0202;D222;D442;1422
CO0202;D209;D442;18
CO0202;D659;D631;59
CO0202;D617;D631;98
CO0202;D633;D631;188
CO0202;D104;D631;46
CO0202;D681;D631;37
CO0202;D670;D631;56
CO0133;D517;D606;332
CO0133;D614;D608;484
CO0133;D613;D621;225
CO0133;D638;D621;150
CO0133;D628;D621;664
CO0173;D624;D602;299
CO0173;D402;D631;239
CO0173;D654;D651;603
CO0173;D405;D651;335
CO0173;D119;D631;208
CO0173;D051;D631;243
CO0173;D519;D631;724
CO0173;D666;D631;2512
CO0173;D649;D651;577
CO0173;D672;D651;100
CO0173;D616;D651;727
CO0173;D411;D302;182
CO0173;D643;D660;339
CO0173;D674;D660;200
CO0173;D671;D660;342
CO0173;D669;D660;608
CO0173;D637;D660;712
CO0173;D662;D300;56
CO0173;D525;D631;36
CO0173;D419;D631;261
CO0173;D652;D651;281
CO0173;D659;D631;147
CO0173;D617;D651;168
CO0173;D680;D651;524
CO0173;D665;D651;1138
CO0173;D675;D651;636
CO0173;D682;D314;70
CO0173;D603;D631;163
CO0173;D007;D631;286
CO0173;D656;D651;80
CO0152;D402;D669;137
CO0152;D641;D643;168
CO0152;D053;D006;107
CO0152;D674;D620;56
CO0152;D662;D620;610
CO0152;D664;D006;995
CO0152;D664;D620;995
CO0152;D613;D642;774
CO0152;D644;D643;175
CO0100;D509;D303;1087
CO0100;D066;D303;557
CO0100;D524;D303;1094
CO0100;D700;D316;1241
CO0100;D120;D310;336
CO0100;D100;D310;1558
CO0100;D624;D061;1540
CO0100;D020;D631;1443
CO0100;D402;D631;276
CO0100;D019;D300;1555
CO0100;D654;D300;1602
CO0100;D702;D703;514
CO0100;D021;D316;2430
CO0100;D032;D512;834
CO0100;D440;D300;831
CO0100;D009;D503;3688
CO0100;D119;D300;937
CO0100;D001;D302;2593
CO0100;D742;D710;792
CO0100;D013;D302;3629
CO0100;D610;D316;1019
CO0100;D517;D316;4044
CO0100;D642;D314;1469
CO0100;D128;D143;1586
CO0100;D615;D061;837
CO0100;D519;D503;2526
CO0100;D067;D316;1505
CO0100;D052;D503;766
CO0100;D666;D631;1148
CO0100;D510;D303;1017
CO0100;D618;D651;0
CO0100;D618;D314;0
CO0100;D520;D604;2266
CO0100;D460;D300;651
CO0100;D456;D300;1106
CO0100;D649;D300;742
CO0100;D667;D059;565
CO0100;D222;D216;2000
CO0100;D222;D300;2000
CO0100;D653;D651;929
CO0100;D609;D316;1680
CO0100;D704;D639;1316
CO0100;D053;D316;5516
CO0100;D504;D026;1322
CO0100;D002;D026;2921
CO0100;D040;D310;1925
CO0100;D110;D310;624
CO0100;D677;D316;2790
CO0100;D706;D703;413
CO0100;D705;D316;1842
CO0100;D003;D310;992
CO0100;D514;D026;5276
CO0100;D411;D302;827
CO0100;D490;D300;1801
CO0100;D671;D314;1163
CO0100;D645;D300;796
CO0100;D660;D651;588
CO0100;D044;D503;3175
CO0100;D054;D503;1283
CO0100;D627;D628;312
CO0100;D087;D310;788
CO0100;D022;D503;266
CO0100;D223;D300;1015
CO0100;D669;D651;1193
CO0100;D074;D026;1407
