CODE_SITE;NOM_SITE;SECTEUR
D708;MAGNAC LAVAL;BELLAC
D661;MAISON ROUGE;CHATILLON
D502;MANSLE;VERTEUIL
D205;MARIGNAC;ST GENIS DE SAINTONGE
D018;MARSAC;LA ROCHEFOUCAULD
D419;MATHA;TONNAY CHARENTE
D441;MAUZE - Nord;TONNAY CHARENTE
D652;MAUZE - Sud;TONNAY CHARENTE
D106;MERIGNAC LE PIN CME;GUIMPS
D728;MEYMAC;TULLE
D729;MEZIERES;BELLAC
D678;MILLAC;ST MARTIN L ARS
D207;MIRAMBEAU;EXPLOITATION
D632;MONS;VERTEUIL
D501;MONTBRON;CHALAIS
D114;MONTILS;JARNAC CHARENTE
D464;MONTLIEU-LA-GARDE;GUIMPS
D033;MONTMOREAU;CHALAIS
D209;MONTPELLIER;TONNAY CHARENTE
D109;MOSNAC;ST GENIS DE SAINTONGE
D015;MOUTHIERS;LA ROCHEFOUCAULD
D636;NERE;LE PONTHIOUX
D220;NIEUL LE VIROUIL;ST GENIS DE SAINTONGE
D730;NONARDS;TULLE
D709;NOUZERINES;PARSAC
D276;Océalia /St Pierre de Juillers;EXPLOITATION
D284;Ocealia chez Agricentre;EXPLOITATION
D280;Océalia chez AXEREAL;EXPLOITATION
D288;Océalia chez BELLANNE;EXPLOITATION
D270;Océalia chez CARC;EXPLOITATION
D274;Océalia chez CAVAC VILLEJESUS;EXPLOITATION
D278;Océalia chez COURCON;EXPLOITATION
D281;Océalia chez FAYE /ARDIN;EXPLOITATION
D271;Océalia chez LOULAY;EXPLOITATION
D282;Océalia chez MATHA;EXPLOITATION
D287;Océalia chez NEOLIS;EXPLOITATION
D283;Océalia chez SEVRE & BELLE;EXPLOITATION
D275;Océalia chez ST AGNANT;EXPLOITATION
D272;Océalia chez TERRE ATLANTIQUE;EXPLOITATION
D286;Océalia chez TERRENA;EXPLOITATION
D285;Océalia chez TERRES DU SUD;EXPLOITATION
D228;Océalia chez TONNAY-BOUTONNE;EXPLOITATION
D314;OCERAIL;EXPLOITATION
D659;PAIZAY LE CHAPT;LE PONTHIOUX
D006;PAIZAY-NAUDOIN;VERTEUIL
D710;PARSAC;PARSAC
D731;PARSAC Ferti;PARSAC
D617;PAS DE JEU;CHATILLON
D065;PEREUIL CME;CHALAIS
D016;PERIGNAC 16;LA ROCHEFOUCAULD
D105;PERIGNAC 17;JARNAC CHARENTE
D012;PEUDRY;CHALAIS
D732;PEYRILHAC;BELLAC
D038;PILLAC;CHALAIS
D424;PONS;ST GENIS DE SAINTONGE
D680;PRAHECQ -PLATEFORME;LE PONTHIOUX
D679;PRESSAC;ST MARTIN L ARS
D151;PRESTA MAISON-FEYNE;PARSAC
D153;PRESTA SNC BACHELIER FERRU;LE PONTHIOUX
D665;PRIN DEYRANCON;LE PONTHIOUX
D426;PUYRAVAULT;TONNAY CHARENTE
D472;RIOUX;TONNAY CHARENTE
D412;ROCHEFORT SEMENCES;TONNAY CHARENTE
D622;ROM;LE PONTHIOUX
D445;ROUFFIGNAC;ST GENIS DE SAINTONGE
D008;ROUILLAC I;JARNAC CHARENTE
D077;ROUILLAC III;JARNAC CHARENTE
D004;RUFFEC;VERTEUIL
D217;SABLONCEAUX;TONNAY CHARENTE
D633;SALEIGNES;LE PONTHIOUX
D214;SALLES DE BARBEZIEUX;GUIMPS
D029;SALLES DE VILLEFAGNAN I;VERTEUIL
D031;SALLES LAVALETTE;CHALAIS
D316;SAO (ST SAVIOL);EXPLOITATION
D664;SAUZE VAUSSAIS;LE PONTHIOUX
D017;SEGONZAC;JARNAC CHARENTE
D216;SEMUSSAC;TONNAY CHARENTE
D300;SICA LA PALLICE;EXPLOITATION
D305;SICA TONNAY CHARENTE PORTUAIRE;EXPLOITATION
D303;SILOS D'AQUITAINE;EXPLOITATION
D062;SIREUIL;LA ROCHEFOUCAULD
D309;SOB TRAN;EXPLOITATION
D306;SOCOMAC;EXPLOITATION
D507;SOURZAC;CHALAIS
D625;ST AMANT;VERTEUIL
D104;ST ANDRE DE LIDON CME;TONNAY CHARENTE
D212;ST CIERS CHAMPAGNE;GUIMPS
D213;ST CIERS DU TAILLON;ST GENIS DE SAINTONGE
D630;ST FLORENT (plate-forme AF PV);LE PONTHIOUX
D684;ST FLORENT ENSACHAGE;LE PONTHIOUX
D037;ST FRAIGNE;VERTEUIL
D250;ST GENIS ENSACHAGE;ST GENIS DE SAINTONGE
D226;ST GENIS SILO;ST GENIS DE SAINTONGE
D200;ST GENIS SILOSPHERE;ST GENIS DE SAINTONGE
D646;ST GEORGES DE NOISNE;CHATILLON
D675;ST GEORGES DE REX;LE PONTHIOUX
D218;ST GEORGES DES AGOUTS;ST GENIS DE SAINTONGE
D116;ST GEORGES DES COTEAUX;TONNAY CHARENTE
D682;ST GERMIER;CHATILLON
D733;ST JUNIEN;ST LEONARD
D418;ST JUST;TONNAY CHARENTE
D736;ST LEONARD;ST LEONARD
D041;ST MARTIAL VIVEYROL;CHALAIS
D639;ST MARTIN L ARS;ST MARTIN L ARS
D635;ST OUEN LA THENE;TONNAY CHARENTE
D115;ST PORCHAIRE;TONNAY CHARENTE
D734;ST PRIVAT;TULLE
D512;ST ROMAIN;CHALAIS
D612;ST ROMAIN en Charroux;LE BOUCHAGE
D435;ST SAUVEUR;TONNAY CHARENTE
D711;ST SULPICE LES FEUILLES;BELLAC
D225;ST SURIN;GUIMPS
D648;ST VARENT;CHATILLON
D024;STATION SEMENCES CHARMANT;LA ROCHEFOUCAULD
D600;STATION SEMENCES ST FLORENT;LE PONTHIOUX
D735;STE FEREOLE;TULLE
D476;STE GEMME;TONNAY CHARENTE
D046;STE SEVERE CME;JARNAC CHARENTE
D620;STE SOLINE;LE PONTHIOUX
D143;STS VIVIEN;TONNAY CHARENTE
D304;TAA LA PALLICE;EXPLOITATION
D126;TANZAC;ST GENIS DE SAINTONGE
D439;THAIRE;TONNAY CHARENTE
D613;THEIL-RABIER;VERTEUIL
D477;THEZAC;TONNAY CHARENTE
D629;THOLLET;ST MARTIN L ARS
D068;TOCANE;CHALAIS
D442;TONNAY CHARENTE SILO COOP;TONNAY CHARENTE
D108;TOUVENT;ST GENIS DE SAINTONGE
D738;TULLE;TULLE
D061;UCAP;EXPLOITATION
D739;USSEL;TULLE
D638;USSON;ST MARTIN L ARS
D511;VALEUIL;CHALAIS
D681;VANZAY - LA POMMERAIE;LE PONTHIOUX
D056;VARS;LA ROCHEFOUCAULD
D644;VASLES;CHATILLON
D603;VERTEUIL;VERTEUIL
D740;VICQ SUR BREUILH;ST LEONARD
D508;VILLEBOIS LAVALETTE;LA ROCHEFOUCAULD
D007;VILLEFAGNAN;VERTEUIL
D049;VILLETOUREIX;CHALAIS
D656;VILLIERS;CHATILLON
D628;VIVONNE;ST MARTIN L ARS
D670;VRINES;CHATILLON
D059;XAMBES;VERTEUIL
