CODE_PRODUIT;CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;QUANTITE_TRANSFEREE;COUT_UNITAIRE;COUT_TRANSFERT
CO0700;D020;D022;85;4.52;384.2
CO0700;D402;D490;89;3.43;305.27
CO0700;D019;D022;1001;4.52;4524.52
CO0700;D202;D102;275;3.06;841.5
CO0700;D404;D490;63;3.43;216.09
CO0700;D654;D314;304;4.24;1288.96
CO0700;D605;D061;38;3.43;130.34
CO0700;D405;D490;305;5.89;1796.45
CO0700;D063;D303;259;8.9;2305.1
CO0700;D702;D707;136;5.2;707.2
CO0700;D021;D605;266;3.06;813.96
CO0700;D503;D022;157;3.06;480.42
CO0700;D032;D303;176;9.24;1626.24
CO0700;D440;D305;104;3.06;318.24
CO0700;D513;D022;526;3.43;1804.18
CO0700;D009;D022;898;3.06;2747.88
CO0700;D119;D490;250;3.43;857.5
CO0700;D001;D303;386;8.9;3435.4
CO0700;D742;D707;32;12.19;390.08
CO0700;D013;D303;390;9.24;3603.6
CO0700;D157;D305;159;3.43;545.37
CO0700;D621;D604;1046;3.7;3870.2
CO0700;D610;D604;705;3.06;2157.3
CO0700;D517;D602;1085;3.7;4014.5
CO0700;D201;D303;1113;9.24;10284.12
CO0700;D642;D314;603;3.7;2231.1
CO0700;D128;D107;351;5.2;1825.2
CO0700;D615;D604;470;3.43;1612.1
CO0700;D519;D022;485;4.24;2056.4
CO0700;D034;D107;102;4.24;432.48
CO0700;D641;D314;271;5.89;1596.19
CO0700;D067;D605;318;3.06;973.08
CO0700;D052;D022;505;3.43;1732.15
CO0700;D666;D631;299;3.43;1025.57
CO0700;D618;D657;76;3.06;232.56
CO0700;D601;D604;158;3.06;483.48
CO0700;D011;D022;109;3.43;373.87
CO0700;D520;D061;336;6.7;2251.2
CO0700;D460;D462;91;3.43;312.13
CO0700;D626;D608;439;3.43;1505.77
CO0700;D649;D314;228;4.24;966.72
CO0700;D667;D631;447;3.06;1367.82
CO0700;D222;D201;427;3.7;1579.9
CO0700;D703;D707;108;8.9;961.2
CO0700;D653;D314;612;3.06;1872.72
CO0700;D672;D314;215;4.52;971.8
CO0700;D609;D061;1352;3.06;4137.12
CO0700;D704;D707;131;5.2;681.2
CO0700;D053;D061;1031;7.98;8227.38
CO0700;D504;D508;64;4.24;271.36
CO0700;D673;D657;206;3.06;630.36
CO0700;D002;D508;391;3.7;1446.7
CO0700;D040;D008;223;3.06;682.38
CO0700;D616;D602;600;3.06;1836.0
CO0700;D616;D061;600;3.06;1836.0
CO0700;D110;D107;82;3.06;250.92
CO0700;D677;D608;451;5.2;2345.2
CO0700;D706;D707;11;5.2;57.2
CO0700;D210;D303;209;8.9;1860.1
CO0700;D035;D022;117;3.43;401.31
CO0700;D705;D707;417;4.24;1768.08
CO0700;D003;D008;19;3.43;65.17
